AAA	none	8086,NOLONG	AAA 	ASCII Adjust After Addition	AAA.html
VPEXTRW	reg32,xmmreg,imm8	AVX,SANDYBRIDGE	VPEXTRW r32, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg64,xmmreg,imm8	AVX,SANDYBRIDGE,LONG	VPEXTRW r64, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg32,xmmreg,imm8	AVX,SANDYBRIDGE	VPEXTRW r32, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	mem16,xmmreg,imm8	AVX,SANDYBRIDGE	VPEXTRW mem16, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg16,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW r16, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg32,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW r32, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg64,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW r64, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	mem16,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW mem16, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg16,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW r16, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg32,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW r32, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRW	reg64,xmmreg,imm8	AVX512BW,FUTURE	VPEXTRW r64, xmm, imm8	Extract Word	PEXTRW.html
VPEXTRD	reg64,xmmreg,imm8	AVX,SANDYBRIDGE,LONG	VPEXTRD r64, xmm, imm8	Extract Byte/Dword/Qword	PEXTRB:PEXTRD:PEXTRQ.html
VPEXTRD	rm32,xmmreg,imm8	AVX,SANDYBRIDGE	VPEXTRD r/m32, xmm, imm8	Extract Byte/Dword/Qword	PEXTRB:PEXTRD:PEXTRQ.html
VPEXTRD	rm32,xmmreg,imm8	AVX512DQ,FUTURE	VPEXTRD r/m32, xmm, imm8	Extract Byte/Dword/Qword	PEXTRB:PEXTRD:PEXTRQ.html
VPEXTRQ	rm64,xmmreg,imm8	AVX,SANDYBRIDGE,LONG	VPEXTRQ r/m64, xmm, imm8	Extract Byte/Dword/Qword	PEXTRB:PEXTRD:PEXTRQ.html
VPEXTRQ	rm64,xmmreg,imm8	AVX512DQ,FUTURE	VPEXTRQ r/m64, xmm, imm8	Extract Byte/Dword/Qword	PEXTRB:PEXTRD:PEXTRQ.html
VPHADDW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPHADDW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHADDW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPHADDW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHADDD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPHADDD xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHADDD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPHADDD ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHADDSW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPHADDSW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHADDSW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPHADDSW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHMINPOSUW	xmmreg,xmmrm128	AVX,SANDYBRIDGE	VPHMINPOSUW xmm, xmm/m128	TODO: AVX,SANDYBRIDGE	
VPHSUBW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPHSUBW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHSUBW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPHSUBW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHSUBD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPHSUBD xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHSUBD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPHSUBD ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHSUBSW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPHSUBSW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPHSUBSW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPHSUBSW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2	
VPINSRB	xmmreg,xmmreg*,mem8,imm8	AVX,SANDYBRIDGE	VPINSRB xmm, xmm, mem8, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRB	xmmreg,xmmreg*,rm8,imm8	AVX,SANDYBRIDGE	VPINSRB xmm, xmm, r/m8, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRB	xmmreg,xmmreg*,reg32,imm8	AVX,SANDYBRIDGE	VPINSRB xmm, xmm, r32, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRB	xmmreg,xmmreg,reg32,imm8	AVX512BW,FUTURE	VPINSRB xmm, xmm, r32, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRB	xmmreg,xmmreg,mem8,imm8	AVX512BW,FUTURE	VPINSRB xmm, xmm, mem8, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRW	xmmreg,xmmreg*,mem16,imm8	AVX,SANDYBRIDGE	VPINSRW xmm, xmm, mem16, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRW	xmmreg,xmmreg*,rm16,imm8	AVX,SANDYBRIDGE	VPINSRW xmm, xmm, r/m16, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRW	xmmreg,xmmreg*,reg32,imm8	AVX,SANDYBRIDGE	VPINSRW xmm, xmm, r32, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRW	xmmreg,xmmreg,reg32,imm8	AVX512BW,FUTURE	VPINSRW xmm, xmm, r32, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRW	xmmreg,xmmreg,mem16,imm8	AVX512BW,FUTURE	VPINSRW xmm, xmm, mem16, imm8	TODO: AVX,SANDYBRIDGE,AVX512BW,FUTURE	
VPINSRD	xmmreg,xmmreg*,mem32,imm8	AVX,SANDYBRIDGE	VPINSRD xmm, xmm, mem32, imm8	TODO: AVX,SANDYBRIDGE,AVX512DQ,FUTURE	
VPINSRD	xmmreg,xmmreg*,rm32,imm8	AVX,SANDYBRIDGE	VPINSRD xmm, xmm, r/m32, imm8	TODO: AVX,SANDYBRIDGE,AVX512DQ,FUTURE	
VPINSRD	xmmreg,xmmreg,rm32,imm8	AVX512DQ,FUTURE	VPINSRD xmm, xmm, r/m32, imm8	TODO: AVX,SANDYBRIDGE,AVX512DQ,FUTURE	
VPINSRQ	xmmreg,xmmreg*,mem64,imm8	AVX,SANDYBRIDGE,LONG	VPINSRQ xmm, xmm, mem64, imm8	TODO: AVX,SANDYBRIDGE,LONG,AVX512DQ,FUTURE	
VPINSRQ	xmmreg,xmmreg*,rm64,imm8	AVX,SANDYBRIDGE,LONG	VPINSRQ xmm, xmm, r/m64, imm8	TODO: AVX,SANDYBRIDGE,LONG,AVX512DQ,FUTURE	
VPINSRQ	xmmreg,xmmreg,rm64,imm8	AVX512DQ,FUTURE	VPINSRQ xmm, xmm, r/m64, imm8	TODO: AVX,SANDYBRIDGE,LONG,AVX512DQ,FUTURE	
VPMADDWD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMADDWD xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDWD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMADDWD ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDWD	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMADDWD xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDWD	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMADDWD ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDWD	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMADDWD zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDUBSW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMADDUBSW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDUBSW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMADDUBSW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDUBSW	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMADDUBSW xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDUBSW	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMADDUBSW ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMADDUBSW	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMADDUBSW zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSB	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMAXSB xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSB	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMAXSB ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSB	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMAXSB xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSB	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMAXSB ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSB	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMAXSB zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMAXSW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMAXSW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSW	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMAXSW xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSW	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMAXSW ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSW	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMAXSW zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXSD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMAXSD xmm, xmm, xmm/m128	Maximum of Int32 Vectors	
VPMAXSD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMAXSD ymm, ymm, ymm/m256	Maximum of Int32 Vectors	
VPMAXSD	xmmreg|mask|z,xmmreg,xmmrm128|b32	AVX512VL,AVX512,FUTURE	VPMAXSD xmm|mask|z, xmm, xmm/m128|b32	Maximum of Int32 Vectors	
VPMAXSD	ymmreg|mask|z,ymmreg,ymmrm256|b32	AVX512VL,AVX512,FUTURE	VPMAXSD ymm|mask|z, ymm, ymm/m256|b32	Maximum of Int32 Vectors	
VPMAXSD	zmmreg|mask|z,zmmreg,zmmrm512|b32	AVX512,FUTURE	VPMAXSD zmm|mask|z, zmm, zmm/m512|b32	Maximum of Int32 Vectors	
VPMAXUB	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMAXUB xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUB	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMAXUB ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUB	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMAXUB xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUB	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMAXUB ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUB	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMAXUB zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMAXUW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMAXUW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUW	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMAXUW xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUW	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMAXUW ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUW	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMAXUW zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMAXUD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMAXUD xmm, xmm, xmm/m128	Maximum of Uint32 Vectors	
VPMAXUD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMAXUD ymm, ymm, ymm/m256	Maximum of Uint32 Vectors	
VPMAXUD	xmmreg|mask|z,xmmreg,xmmrm128|b32	AVX512VL,AVX512,FUTURE	VPMAXUD xmm|mask|z, xmm, xmm/m128|b32	Maximum of Uint32 Vectors	
VPMAXUD	ymmreg|mask|z,ymmreg,ymmrm256|b32	AVX512VL,AVX512,FUTURE	VPMAXUD ymm|mask|z, ymm, ymm/m256|b32	Maximum of Uint32 Vectors	
VPMAXUD	zmmreg|mask|z,zmmreg,zmmrm512|b32	AVX512,FUTURE	VPMAXUD zmm|mask|z, zmm, zmm/m512|b32	Maximum of Uint32 Vectors	
VPMINSB	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMINSB xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSB	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMINSB ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSB	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMINSB xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSB	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMINSB ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSB	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMINSB zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMINSW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMINSW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSW	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMINSW xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSW	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMINSW ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSW	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMINSW zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINSD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMINSD xmm, xmm, xmm/m128	Minimum of Int32 Vectors	
VPMINSD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMINSD ymm, ymm, ymm/m256	Minimum of Int32 Vectors	
VPMINSD	xmmreg|mask|z,xmmreg,xmmrm128|b32	AVX512VL,AVX512,FUTURE	VPMINSD xmm|mask|z, xmm, xmm/m128|b32	Minimum of Int32 Vectors	
VPMINSD	ymmreg|mask|z,ymmreg,ymmrm256|b32	AVX512VL,AVX512,FUTURE	VPMINSD ymm|mask|z, ymm, ymm/m256|b32	Minimum of Int32 Vectors	
VPMINSD	zmmreg|mask|z,zmmreg,zmmrm512|b32	AVX512,FUTURE	VPMINSD zmm|mask|z, zmm, zmm/m512|b32	Minimum of Int32 Vectors	
VPMINUB	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMINUB xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUB	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMINUB ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUB	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMINUB xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUB	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMINUB ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUB	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMINUB zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUW	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMINUW xmm, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUW	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMINUW ymm, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUW	xmmreg|mask|z,xmmreg,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMINUW xmm|mask|z, xmm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUW	ymmreg|mask|z,ymmreg,ymmrm256	AVX512VL,AVX512BW,FUTURE	VPMINUW ymm|mask|z, ymm, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUW	zmmreg|mask|z,zmmreg,zmmrm512	AVX512BW,FUTURE	VPMINUW zmm|mask|z, zmm, zmm/m512	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMINUD	xmmreg,xmmreg*,xmmrm128	AVX,SANDYBRIDGE	VPMINUD xmm, xmm, xmm/m128	Minimum of Uint32 Vectors	
VPMINUD	ymmreg,ymmreg*,ymmrm256	FUTURE,AVX2	VPMINUD ymm, ymm, ymm/m256	Minimum of Uint32 Vectors	
VPMINUD	xmmreg|mask|z,xmmreg,xmmrm128|b32	AVX512VL,AVX512,FUTURE	VPMINUD xmm|mask|z, xmm, xmm/m128|b32	Minimum of Uint32 Vectors	
VPMINUD	ymmreg|mask|z,ymmreg,ymmrm256|b32	AVX512VL,AVX512,FUTURE	VPMINUD ymm|mask|z, ymm, ymm/m256|b32	Minimum of Uint32 Vectors	
VPMINUD	zmmreg|mask|z,zmmreg,zmmrm512|b32	AVX512,FUTURE	VPMINUD zmm|mask|z, zmm, zmm/m512|b32	Minimum of Uint32 Vectors	
VPMOVMSKB	reg64,xmmreg	AVX,SANDYBRIDGE,LONG	VPMOVMSKB r64, xmm	TODO: AVX,SANDYBRIDGE,LONG,FUTURE,AVX2	
VPMOVMSKB	reg32,xmmreg	AVX,SANDYBRIDGE	VPMOVMSKB r32, xmm	TODO: AVX,SANDYBRIDGE,LONG,FUTURE,AVX2	
VPMOVMSKB	reg32,ymmreg	FUTURE,AVX2	VPMOVMSKB r32, ymm	TODO: AVX,SANDYBRIDGE,LONG,FUTURE,AVX2	
VPMOVMSKB	reg64,ymmreg	FUTURE,AVX2	VPMOVMSKB r64, ymm	TODO: AVX,SANDYBRIDGE,LONG,FUTURE,AVX2	
VPMOVSXBW	xmmreg,xmmrm64	AVX,SANDYBRIDGE	VPMOVSXBW xmm, xmm/m64	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMOVSXBW	ymmreg,xmmrm128	FUTURE,AVX2	VPMOVSXBW ymm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMOVSXBW	xmmreg|mask|z,xmmrm64	AVX512VL,AVX512BW,FUTURE	VPMOVSXBW xmm|mask|z, xmm/m64	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMOVSXBW	ymmreg|mask|z,xmmrm128	AVX512VL,AVX512BW,FUTURE	VPMOVSXBW ymm|mask|z, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMOVSXBW	zmmreg|mask|z,ymmrm256	AVX512BW,FUTURE	VPMOVSXBW zmm|mask|z, ymm/m256	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512BW	
VPMOVSXBD	xmmreg,xmmrm32	AVX,SANDYBRIDGE	VPMOVSXBD xmm, xmm/m32	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBD	ymmreg,mem64	FUTURE,AVX2	VPMOVSXBD ymm, mem64	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBD	ymmreg,xmmreg	FUTURE,AVX2	VPMOVSXBD ymm, xmm	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBD	xmmreg|mask|z,xmmrm32	AVX512VL,AVX512,FUTURE	VPMOVSXBD xmm|mask|z, xmm/m32	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBD	ymmreg|mask|z,xmmrm64	AVX512VL,AVX512,FUTURE	VPMOVSXBD ymm|mask|z, xmm/m64	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBD	zmmreg|mask|z,xmmrm128	AVX512,FUTURE	VPMOVSXBD zmm|mask|z, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBQ	xmmreg,xmmrm16	AVX,SANDYBRIDGE	VPMOVSXBQ xmm, xmm/m16	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBQ	ymmreg,mem32	FUTURE,AVX2	VPMOVSXBQ ymm, mem32	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBQ	ymmreg,xmmreg	FUTURE,AVX2	VPMOVSXBQ ymm, xmm	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBQ	xmmreg|mask|z,xmmrm16	AVX512VL,AVX512,FUTURE	VPMOVSXBQ xmm|mask|z, xmm/m16	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBQ	ymmreg|mask|z,xmmrm32	AVX512VL,AVX512,FUTURE	VPMOVSXBQ ymm|mask|z, xmm/m32	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXBQ	zmmreg|mask|z,xmmrm64	AVX512,FUTURE	VPMOVSXBQ zmm|mask|z, xmm/m64	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXWD	xmmreg,xmmrm64	AVX,SANDYBRIDGE	VPMOVSXWD xmm, xmm/m64	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
VPMOVSXWD	ymmreg,xmmrm128	FUTURE,AVX2	VPMOVSXWD ymm, xmm/m128	TODO: AVX,SANDYBRIDGE,FUTURE,AVX2,AVX512VL,AVX512	
